latitude,longitude,temp_mean,temp_std,temp_max,temp_min,pm25_mean,pm25_std,pm25_max,pm25_min,pm10_mean,pm10_std,pm10_max,pm10_min,epa_mean,epa_max,duaod550_mean,duaod550_std,node_id,epa_index,math_danger_score
25.2,44.0,23.431281651459877,8.872866986721263,41.71914000000004,3.9736599999999953,35.606125827828464,26.76810983867132,179.20556,4.568126,191.014418020073,168.93416558188298,1478.8709000000001,12.496336,2.8458029197080292,6,0.23517465784854016,0.17461533793942577,25.20_44.00,6,99.5
25.2,44.4,23.593384635036518,8.97788087700339,42.19033000000002,3.558300000000031,35.09825684990876,23.868786614259758,163.42520000000002,5.355123,181.1724180834854,141.58443696008524,1201.2495000000001,10.088788500000001,2.815693430656934,6,0.23657912291377736,0.17094725997792423,25.20_44.40,6,97.5
25.2,44.8,23.562008594890536,8.934921844959595,42.18398000000002,3.6774500000000216,34.714266897445256,21.76144064624103,158.81717,2.4520945000000003,178.28171913540146,127.47036242079913,948.0583999999999,2.4920064,2.822080291970803,6,0.23766552838677005,0.17106213118571514,25.20_44.80,6,97.5
25.2,45.2,23.510386806569365,9.08600842489574,42.23525000000001,2.9294000000000437,37.76703129680657,23.946629934377626,147.16092,1.2007152,213.49916545346716,163.49483608197522,1166.3581,1.416529,3.0875912408759123,6,0.24621413490164232,0.17705560850736615,25.20_45.20,6,99.5
25.2,45.6,23.513542718978123,9.085299374892431,42.271630000000016,2.901100000000042,39.148321281478104,24.696553131594793,164.60389999999998,5.64308,229.43418595164235,179.1567761114446,1340.5848,13.593645,3.190693430656934,6,0.2501653811770073,0.18259701385393337,25.20_45.60,6,99.5
25.2,45.99999999999999,23.347265027372288,8.906812480751624,41.98257000000001,3.1250200000000063,40.97078889279197,26.68759557962927,188.85670000000002,4.620721,249.061332229927,203.70469794290057,1537.0036,15.599535999999999,3.303832116788321,6,0.2504645022801095,0.1889058942762609,25.20_46.00,6,99.5
25.2,46.39999999999999,23.518932080291993,8.944524904954127,42.446680000000015,3.0478800000000206,48.51718457454379,34.70573660346987,236.52426,4.7389666,327.071203560219,295.96758018930444,1826.6363999999999,10.045826,3.6824817518248176,6,0.27961040380839414,0.21319249551694824,25.20_46.40,6,99.5
25.2,46.79999999999999,23.6771562682482,9.000980728386363,43.086569999999995,3.333030000000008,55.752642607755476,45.23386305745076,338.3965,2.5978741,425.9878471656022,441.0130104515333,2606.8233,4.1574735,3.875,6,0.30682788920072995,0.24902153693927517,25.20_46.80,6,99.5
25.2,47.19999999999999,23.469160830291994,9.124533475405686,43.43203,3.2324500000000285,40.43891357718978,24.43078710058817,166.44012999999998,4.567598,255.30395726459855,213.0375752135406,1397.6678000000002,9.72972,3.333029197080292,6,0.2690019751970803,0.20505958027853943,25.20_47.20,6,99.5
25.2,47.59999999999999,23.502735145985426,9.334449786103955,44.359770000000026,3.1328400000000443,36.22959981916058,18.51754551794941,124.42317999999999,4.8597535,197.25510276322993,139.8207579727028,882.49595,9.28336,3.0410583941605838,6,0.2497812456240876,0.17957885855993316,25.20_47.60,6,99.5
